Channel s
==========
Fields         | Structure constants          | Relative errors            
--------------------------------------------------------------------
V_{(1, 0)}     |  1.00000e+00 + 0.00000e+00im | 0.00000e+00 + 0.00000e+00im
V_{(1, 1)}     |  7.83613e+85 + 7.19933e+85im |  8.13632e+00 + 0.00000e+00im
V_{(2, 0)}     |  1.34262e+51 + 1.80579e+51im |  2.71444e-01 + 0.00000e+00im
V_{(2, 1//2)}  |  3.42891e+63 - 3.90268e+63im |  2.22295e+00 + 0.00000e+00im
V_{(2, 1)}     |  1.30599e+85 - 6.62928e+85im |  5.88039e+00 + 0.00000e+00im
V_{(2, 3//2)}  | -8.89611e+24 - 4.11903e+24im |  1.49069e+00 + 0.00000e+00im
V_{(3, 0)}     | -5.60824e+63 + 8.75759e+61im |  2.22633e+00 + 0.00000e+00im
V_{(3, 1//3)}  | -3.52064e+85 + 1.46382e+85im |  3.60254e+00 + 0.00000e+00im
V_{(3, 2//3)}  |  7.78527e+69 - 5.85528e+70im |  4.13327e+00 + 0.00000e+00im
V_{(3, 1)}     | -5.34952e+03 - 3.75055e+02im |  3.84159e+00 + 0.00000e+00im
V_{(3, 4//3)}  |  2.89557e+70 + 2.15467e+70im |  3.26550e+00 + 0.00000e+00im
V_{(3, 5//3)}  | -4.44955e+51 - 7.32725e+51im |  3.37683e-01 + 0.00000e+00im
V_{(4, 0)}     | -1.96758e+52 + 3.96451e+52im |  3.03439e-01 + 0.00000e+00im
V_{(4, 1//4)}  |  7.77272e+78 - 2.61316e+76im |  2.29917e+00 + 0.00000e+00im
V_{(4, 1//2)}  |  1.35319e+86 + 4.48831e+85im |  1.76967e+00 + 0.00000e+00im
V_{(4, 3//4)}  | -1.70998e+68 + 5.79253e+69im |  2.87065e+00 + 0.00000e+00im
V_{(4, 1)}     |  3.13595e+52 + 2.86021e+51im |  3.19730e-01 + 0.00000e+00im
V_{(4, 5//4)}  |  3.10959e+63 + 3.46889e+63im |  2.22815e+00 + 0.00000e+00im
